Tech Industry,Skill,Junior,Mid-Level,Senior,MCQ,Coding
None,None,None,None,None,None,None
Full-Stack,HTML,Full-Stack HTML Assessment - Junior,Full-Stack HTML Assessment - Mid-Level,Full-Stack HTML Assessment - Senior,Yes,No
Full-Stack,CSS,Full-Stack CSS Assessment - Junior,Full-Stack CSS Assessment - Mid-Level,Full-Stack CSS Assessment - Senior,Yes,No
Full-Stack,JavaScript,Full-Stack JavaScript Assessment - Junior,Full-Stack JavaScript Assessment - Mid-Level,Full-Stack JavaScript Assessment - Senior,Yes,Yes
Full-Stack,Angular,Full-Stack Angular Assessment - Junior,Full-Stack Angular Assessment - Mid-Level,Full-Stack Angular Assessment - Senior,Yes,No
Full-Stack,TypeScript,Full-Stack TypeScript Assessment - Junior,Full-Stack TypeScript Assessment - Mid-Level,Full-Stack TypeScript Assessment - Senior,Yes,No
Full-Stack,Go/Golang,Full-Stack Go/Golang Assessment - Junior,Full-Stack Go/Golang Assessment - Mid-Level,Full-Stack Go/Golang Assessment - Senior,Yes,No
Full-Stack,.NET Core,Full-Stack .NET Core Assessment - Junior,Full-Stack .NET Core Assessment - Mid-Level,Full-Stack .NET Core Assessment - Senior,Yes,Yes
Full-Stack,ASP.NET,Full-Stack ASP.NET Assessment - Junior,Full-Stack ASP.NET Assessment - Mid-Level,Full-Stack ASP.NET Assessment - Senior,Yes,Yes
Full-Stack,C#,Full-Stack C# Assessment - Junior,Full-Stack C# Assessment - Mid-Level,Full-Stack C# Assessment - Senior,Yes,Yes
Full-Stack,Vue.js,Full-Stack Vue.js Assessment - Junior,Full-Stack Vue.js Assessment - Mid-Level,Full-Stack Vue.js Assessment - Senior,Yes,Yes
Full-Stack,SQL,Full-Stack SQL Assessment - Junior,Full-Stack SQL Assessment - Mid-Level,Full-Stack SQL Assessment - Senior,Yes,No
Full-Stack,MySQL,Full-Stack MySQL Assessment - Junior,Full-Stack MySQL Assessment - Mid-Level,Full-Stack MySQL Assessment - Senior,Yes,No
Full-Stack,MS SQL,Full-Stack MSSQL Assessment - Junior,Full-Stack MSSQL Assessment - Mid-Level,Full-Stack MSSQL Assessment - Senior,Yes,No
Front-End,JavaScript,Front-End JavaScript Assessment - Junior,Front-End JavaScript Assessment - Mid-Level,Front-End JavaScript Assessment - Senior,Yes,Yes
Front-End,HTML,Front-End HTML Assessment - Junior,Front-End HTML Assessment - Mid-Level,Front-End HTML Assessment - Senior,Yes,No
Front-End,CSS,Front-End CSS Assessment - Junior,Front-End CSS Assessment - Mid-Level,Front-End CSS Assessment - Senior,Yes,No
Front-End,React.js,Front-End React.js Assessment - Junior,Front-End React.js Assessment - Mid-Level,Front-End React.js Assessment - Senior,Yes,Yes
Front-End,Vue.js,Front-End Vue.js Assessment - Junior,Front-End Vue.js Assessment - Mid-Level,Front-End Vue.js Assessment - Senior,Yes,Yes
Front-End,Angular ,Front-End Angular Assessment - Junior,Front-End Angular Assessment - Mid-Level,Front-End Angular Assessment - Senior,Yes,No
Front-End,Django,Front-End Django Assessment - Junior,Front-End Django Assessment - Mid-Level,Front-End Django Assessment - Senior,Yes,No
Back-End,PHP,Back-End PHP Assessment - Junior,Back-End PHP Assessment - Mid-Level,Back-End PHP Assessment - Senior,Yes,Yes
Back-End,Node.js,Back-End Node.js Assessment - Junior,Back-End Node.jsAssessment - Mid-Level,Back-End Node.js Assessment - Senior,Yes,Yes
